site;season;date_sample;date_sentinel;sample;biomass;tatch;ear;grain;hi
villa_baviera;2020_2021;05-11-2020;09-11-2020;VBS1M1;8,5;8,5;;;
villa_baviera;2020_2021;05-11-2020;09-11-2020;VBS1M2;6,6;6,6;;;
villa_baviera;2020_2021;05-11-2020;09-11-2020;VBS1M3;6,1;5,6;;;
villa_baviera;2020_2021;05-11-2020;09-11-2020;VBS1M4;4,5;4,5;;;
villa_baviera;2020_2021;05-11-2020;09-11-2020;VBS1M5;5,4;5,4;;;
villa_baviera;2020_2021;19-11-2020;19-11-2020;VBS1M1;9,4;6,6;2,8;;
villa_baviera;2020_2021;19-11-2020;19-11-2020;VBS1M2;9,4;6,5;2,9;;
villa_baviera;2020_2021;19-11-2020;19-11-2020;VBS1M3;9;6,1;2,9;;
villa_baviera;2020_2021;19-11-2020;19-11-2020;VBS1M4;6,8;4,9;1,9;;
villa_baviera;2020_2021;19-11-2020;19-11-2020;VBS1M5;10,3;7,6;2,7;;
villa_baviera;2020_2021;09-12-2020;09-12-2020;VBS1M1;20,3;12,1;8,3;;
villa_baviera;2020_2021;09-12-2020;09-12-2020;VBS1M2;21,4;12;9,4;;
villa_baviera;2020_2021;09-12-2020;09-12-2020;VBS1M3;18,7;10,3;8,4;;
villa_baviera;2020_2021;09-12-2020;09-12-2020;VBS1M4;18,9;11,7;7,3;;
villa_baviera;2020_2021;09-12-2020;09-12-2020;VBS1M5;20,6;12,8;7,8;;
villa_baviera;2020_2021;29-12-2020;29-12-2020;VBS1M1;23,3;7,5;15,8;;
villa_baviera;2020_2021;29-12-2020;29-12-2020;VBS1M2;18,9;6,9;12;;
villa_baviera;2020_2021;29-12-2020;29-12-2020;VBS1M3;19,3;7,1;12,1;;
villa_baviera;2020_2021;29-12-2020;29-12-2020;VBS1M4;15,7;6,1;9,6;;
villa_baviera;2020_2021;29-12-2020;29-12-2020;VBS1M5;19,7;7,4;12,2;;
villa_baviera;2020_2021;18-01-2021;18-01-2021;VBS1M1;33,5;7,7;14,8;10,9;
villa_baviera;2020_2021;18-01-2021;18-01-2021;VBS1M2;23,1;5,8;9,9;7,3;0,5
villa_baviera;2020_2021;18-01-2021;18-01-2021;VBS1M3;31,1;8;13,3;9,8;0,5
villa_baviera;2020_2021;18-01-2021;18-01-2021;VBS1M4;31,3;8,4;13,2;9,7;0,5
villa_baviera;2020_2021;18-01-2021;18-01-2021;VBS1M5;39,8;5,5;17,4;12,9;0,6
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M1;2,2;2,2;;;
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M2;2,7;2,7;;;
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M3;1,6;1,6;;;
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M4;0,9;0,9;;;
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M5;1,2;1,2;;;
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M1;4,2;4,2;;;
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M2;5,1;5,1;;;
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M3;4;4;;;
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M4;2,3;2,3;;;
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M5;5,4;5,4;;;
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M1;13,9;13;0,9;;
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M2;17;16,2;0,8;;
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M3;11,4;11;0,5;;
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M4;6,8;6,7;0,1;;
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M5;13,6;12,9;0,8;;
hidango;2021_2022;04-11-2021;04-11-2021;HIS1M1;23,4;16,9;6,5;;
hidango;2021_2022;04-11-2021;04-11-2021;HIS1M2;24,8;18,8;6;;
