site;season;date_sentinel;gdd;phenology;code_zadoks
villa_baviera;2020_2021;15-07-2020;4,7;SOWING;Z00
villa_baviera;2020_2021;04-08-2020;63;SEEDING GROWTH;Z10
villa_baviera;2020_2021;06-08-2020;70,1;SEEDING GROWTH;Z10
villa_baviera;2020_2021;11-08-2020;85,1;SEEDING GROWTH;Z10
villa_baviera;2020_2021;16-08-2020;95,3;SEEDING GROWTH;Z10
villa_baviera;2020_2021;21-08-2020;113,7;SEEDING GROWTH;Z15
villa_baviera;2020_2021;26-08-2020;140,5;SEEDING GROWTH;Z15
villa_baviera;2020_2021;31-08-2020;153,1;SEEDING GROWTH;Z15
villa_baviera;2020_2021;05-09-2020;176,8;SEEDING GROWTH;Z15
villa_baviera;2020_2021;10-09-2020;205,1;SEEDING GROWTH;Z15
villa_baviera;2020_2021;20-09-2020;268,7;SEEDING GROWTH;Z15
villa_baviera;2020_2021;25-09-2020;304,7;TRILLERING;Z20
villa_baviera;2020_2021;30-09-2020;332,5;TRILLERING;Z20
villa_baviera;2020_2021;05-10-2020;353,3;TRILLERING;Z20
villa_baviera;2020_2021;10-10-2020;391,2;TRILLERING;Z25
villa_baviera;2020_2021;15-10-2020;448,7;TRILLERING;Z25
villa_baviera;2020_2021;20-10-2020;493,7;STEM ELONGATION;Z30
villa_baviera;2020_2021;25-10-2020;543,8;STEM ELONGATION;Z30
villa_baviera;2020_2021;27-10-2020;559,1;STEM ELONGATION;Z35
villa_baviera;2020_2021;30-10-2020;590,2;BOOTING;Z40
villa_baviera;2020_2021;04-11-2020;651,9;BOOTING;Z40
villa_baviera;2020_2021;05-11-2020;659,7;BOOTING;Z45
villa_baviera;2020_2021;09-11-2020;701,55;EAR EMERGENCE;Z50
villa_baviera;2020_2021;14-11-2020;754,3;EAR EMERGENCE;Z55
villa_baviera;2020_2021;19-11-2020;805,5;FLOWERING;Z60
villa_baviera;2020_2021;22-11-2020;832,95;FLOWERING;Z65
villa_baviera;2020_2021;24-11-2020;851,9;FLOWERING;Z65
villa_baviera;2020_2021;29-11-2020;901,55;MILK DEVELOPMENT;Z70
villa_baviera;2020_2021;04-12-2020;953,4;MILK DEVELOPMENT;Z75
villa_baviera;2020_2021;09-12-2020;1016,3;MILK DEVELOPMENT;Z75
villa_baviera;2020_2021;19-12-2020;1111,55;MILK DEVELOPMENT;Z75
villa_baviera;2020_2021;24-12-2020;1176,55;DOUGH DEVELOPMENT;Z80
villa_baviera;2020_2021;29-12-2020;1248,3;DOUGH DEVELOPMENT;Z85
villa_baviera;2020_2021;03-01-2021;1319,25;RIPENING;Z90
villa_baviera;2020_2021;08-01-2021;1392,3;RIPENING;Z90
villa_baviera;2020_2021;13-01-2021;1449,05;RIPENING;Z90
villa_baviera;2020_2021;18-01-2021;1514,5;RIPENING;Z90
hidango;2021_2022;25-05-2021;8,9;SOWING;Z00
hidango;2021_2022;01-06-2021;64,7;SEEDING GROWTH;Z10
hidango;2021_2022;06-06-2021;104,6;SEEDING GROWTH;Z10
hidango;2021_2022;11-06-2021;139,7;SEEDING GROWTH;Z10
hidango;2021_2022;16-06-2021;175,1;SEEDING GROWTH;Z10
hidango;2021_2022;21-06-2021;191,2;SEEDING GROWTH;Z10
hidango;2021_2022;26-06-2021;207,6;SEEDING GROWTH;Z15
hidango;2021_2022;01-07-2021;217,7;SEEDING GROWTH;Z15
hidango;2021_2022;06-07-2021;230,7;SEEDING GROWTH;Z15
hidango;2021_2022;11-07-2021;248,5;SEEDING GROWTH;Z15
hidango;2021_2022;16-07-2021;257,8;SEEDING GROWTH;Z15
hidango;2021_2022;21-07-2021;287,4;SEEDING GROWTH;Z15
hidango;2021_2022;26-07-2021;307,1;TRILLERING;Z20
hidango;2021_2022;31-07-2021;325,1;TRILLERING;Z20
hidango;2021_2022;05-08-2021;350,5;TRILLERING;Z20
