date;VWC15;VWC30;VWC45;ST15;ST30;ST45;SEC15;SEC30;SEC45
05-11-2020;0,224;0,363;0,36;20;19,3;18,3;0,394;0,585;0,608
05-11-2020;0,224;0,363;0,36;19,8;19,3;18,3;0,394;0,587;0,61
05-11-2020;0,224;0,363;0,36;19,7;19,3;18,3;0,393;0,588;0,611
05-11-2020;0,224;0,363;0,36;19,6;19,3;18,3;0,394;0,588;0,61
05-11-2020;0,224;0,363;0,36;19,5;19,3;18,3;0,394;0,588;0,608
05-11-2020;0,224;0,363;0,36;19,4;19,3;18,3;0,393;0,587;0,612
05-11-2020;0,224;0,363;0,36;19,3;19,3;18,3;0,391;0,588;0,612
05-11-2020;0,224;0,363;0,36;19,1;19,3;18,3;0,392;0,585;0,61
05-11-2020;0,224;0,363;0,36;19;19,3;18,3;0,393;0,587;0,61
05-11-2020;0,224;0,363;0,36;18,9;19,3;18,3;0,39;0,588;0,611
05-11-2020;0,224;0,363;0,36;18,8;19,3;18,3;0,39;0,588;0,611
05-11-2020;0,224;0,363;0,36;18,7;19,3;18,3;0,39;0,587;0,61
05-11-2020;0,225;0,363;0,36;18,6;19,2;18,3;0,39;0,586;0,612
05-11-2020;0,225;0,363;0,36;18,4;19,2;18,3;0,391;0,586;0,61
05-11-2020;0,225;0,363;0,36;18,3;19,2;18,3;0,391;0,586;0,612
05-11-2020;0,225;0,363;0,36;18,2;19,2;18,3;0,391;0,587;0,612
05-11-2020;0,225;0,363;0,36;18,1;19,2;18,3;0,389;0,586;0,613
05-11-2020;0,225;0,363;0,36;18;19,1;18,3;0,389;0,587;0,611
05-11-2020;0,225;0,363;0,36;17,9;19,1;18,3;0,39;0,587;0,609
05-11-2020;0,225;0,363;0,359;17,8;19,1;18,3;0,388;0,589;0,612
05-11-2020;0,225;0,363;0,36;17,6;19,1;18,3;0,387;0,59;0,611
05-11-2020;0,225;0,363;0,36;17,6;19,1;18,3;0,389;0,598;0,612
05-11-2020;0,225;0,363;0,359;17,4;19;18,3;0,388;0,597;0,612
05-11-2020;0,225;0,363;0,36;17,3;19;18,3;0,388;0,593;0,612
05-11-2020;0,225;0,363;0,359;17,2;19;18,3;0,386;0,597;0,611
05-11-2020;0,225;0,363;0,359;17,1;19;18,3;0,386;0,594;0,611
05-11-2020;0,225;0,363;0,359;17;18,9;18,3;0,386;0,602;0,612
05-11-2020;0,225;0,363;0,36;16,9;18,9;18,3;0,386;0,597;0,612
05-11-2020;0,225;0,363;0,359;16,8;18,9;18,3;0,386;0,599;0,611
05-11-2020;0,225;0,363;0,359;16,7;18,8;18,3;0,387;0,598;0,612
05-11-2020;0,225;0,363;0,359;16,6;18,8;18,3;0,387;0,595;0,611
