site;season;date_sentinel;gdd;phenology;code_zadoks
villa_baviera;2020_2021;15-09-2020;5,1;SOWING;Z00
villa_baviera;2020_2021;20-09-2020;43,7;SEEDING GROWTH;Z10
villa_baviera;2020_2021;25-09-2020;79,7;SEEDING GROWTH;Z10
villa_baviera;2020_2021;30-09-2020;107,5;SEEDING GROWTH;Z10
villa_baviera;2020_2021;05-10-2020;128,3;SEEDING GROWTH;Z15
villa_baviera;2020_2021;10-10-2020;166,2;SEEDING GROWTH;Z15
villa_baviera;2020_2021;15-10-2020;223,7;SEEDING GROWTH;Z15
villa_baviera;2020_2021;20-10-2020;268,7;TRILLERING;Z20
villa_baviera;2020_2021;25-10-2020;318,8;TRILLERING;Z20
villa_baviera;2020_2021;30-10-2020;365,2;TRILLERING;Z25
villa_baviera;2020_2021;04-11-2020;426,9;TRILLERING;Z25
villa_baviera;2020_2021;09-11-2020;476,55;STEM ELONGATION;Z30
villa_baviera;2020_2021;14-11-2020;529,3;STEM ELONGATION;Z30
villa_baviera;2020_2021;19-11-2020;580,5;STEM ELONGATION;Z35
villa_baviera;2020_2021;24-11-2020;626,9;STEM ELONGATION;Z35
villa_baviera;2020_2021;29-11-2020;676,55;BOOTING;Z40
villa_baviera;2020_2021;04-12-2020;728,4;EAR EMERGENCE;Z50
villa_baviera;2020_2021;09-12-2020;791,3;EAR EMERGENCE;Z55
villa_baviera;2020_2021;14-12-2020;832;FLOWERING;Z60
villa_baviera;2020_2021;19-12-2020;886,55;FLOWERING;Z65
villa_baviera;2020_2021;24-12-2020;951,55;MILK DEVELOPMENT;Z70
villa_baviera;2020_2021;29-12-2020;1023,3;MILK DEVELOPMENT;Z75
villa_baviera;2020_2021;03-01-2021;1094,25;DOUGH DEVELOPMENT;Z80
villa_baviera;2020_2021;08-01-2021;1167,3;DOUGH DEVELOPMENT;Z85
villa_baviera;2020_2021;13-01-2021;1224,05;RIPENING;Z90
villa_baviera;2020_2021;18-01-2021;1289,5;RIPENING;Z90
hidango;2021_2022;23-05-2021;8,9;SOWING;Z00
hidango;2021_2022;02-06-2021;75,6;SEEDING GROWTH;Z10
hidango;2021_2022;07-06-2021;112;SEEDING GROWTH;Z10
hidango;2021_2022;12-06-2021;149,5;SEEDING GROWTH;Z10
hidango;2021_2022;17-06-2021;179,3;SEEDING GROWTH;Z10
hidango;2021_2022;22-06-2021;195,1;SEEDING GROWTH;Z10
hidango;2021_2022;27-06-2021;208;SEEDING GROWTH;Z15
hidango;2021_2022;02-07-2021;221,9;SEEDING GROWTH;Z15
hidango;2021_2022;07-07-2021;234;SEEDING GROWTH;Z15
hidango;2021_2022;12-07-2021;251,1;SEEDING GROWTH;Z15
hidango;2021_2022;17-07-2021;260,9;SEEDING GROWTH;Z15
hidango;2021_2022;22-07-2021;293,4;SEEDING GROWTH;Z15
hidango;2021_2022;27-07-2021;309,4;TRILLERING;Z20
hidango;2021_2022;01-08-2021;332,5;TRILLERING;Z20
hidango;2021_2022;06-08-2021;351,8;TRILLERING;Z25
hidango;2021_2022;11-08-2021;367,3;TRILLERING;Z25
hidango;2021_2022;16-08-2021;380,1;TRILLERING;Z25
hidango;2021_2022;21-08-2021;403,8;TRILLERING;Z25
hidango;2021_2022;26-08-2021;417,1;TRILLERING;Z25
hidango;2021_2022;31-08-2021;448,1;TRILLERING;Z25
hidango;2021_2022;05-09-2021;476,1;STEM ELONGATION;Z30
hidango;2021_2022;10-09-2021;496,9;STEM ELONGATION;Z30
