date;solar_radiation_wm2;mm_precipitation; lightning_activity; km_lightning_distance;wind_direction;wind_speed_ms;gust_speed_ms;air_temperature_c; kpa_vapor_pressure; kpa_atmospheric_pressure;x_axis_level;y_axis_level; mm_h_max_precip_rate; c_rh_sensor_temp; kpa_vdp
04-11-2020;284,3;0;0;0;209;1,33;3,96;18;1,17;98,55;0,1;0,4;0;20,4;0,89
04-11-2020;236;0;0;0;200;0,85;2,7;18;1,195;98,54;0,1;0,4;0;20;0,86
04-11-2020;300,8;0;0;0;232;0,65;1,91;18,1;1,235;98,53;0,1;0,4;0;19,8;0,84
04-11-2020;409,9;0;0;0;184;1,14;3,09;18,6;1,23;98,52;0,1;0,3;0;20,8;0,92
04-11-2020;283;0;0;0;207;0,78;2,28;18,6;1,207;98,53;0;0,3;0;21;0,93
04-11-2020;280,9;0;0;0;199;1,01;2,48;18,6;1,185;98,54;0,1;0,2;0;21,4;0,96
04-11-2020;108,4;0;0;0;249;0,91;2,01;18,5;1,165;98,56;0,1;0,4;0;20,7;0,96
04-11-2020;42,1;0;0;0;251;0,92;2,55;17,7;1,119;98,58;0,1;0,4;0;19,3;0,9
04-11-2020;23,7;0;0;0;272;0,48;1,32;17;1,112;98,58;0,1;0,3;0;17,9;0,82
04-11-2020;13,2;0;0;0;345;0,49;0,99;15,9;1,132;98,6;0,2;0,4;0;16,7;0,67
04-11-2020;4,5;0;0;0;351;0,48;1,14;14,6;1,166;98,59;0,1;0,4;0;15,4;0,5
04-11-2020;0,3;0;0;0;124;0,44;0,87;14,1;1,159;98,61;0,1;0,3;0;14,2;0,45
04-11-2020;0;0;0;0;339;0,55;1,06;13,1;1,164;98,61;0,1;0,3;0;13,3;0,34
04-11-2020;0;0;0;0;314;0,48;0,93;12,6;1,148;98,63;0,1;0,3;0;12,4;0,31
04-11-2020;0;0;0;0;305;0,44;1,45;12;1,134;98,66;0,1;0,3;0;11,8;0,26
04-11-2020;0;0;0;0;84;0,52;1,35;12;1,113;98,67;0,1;0,3;0;11,3;0,29
04-11-2020;0;0;0;0;28;0,66;1,29;11,5;1,081;98,68;0,1;0,3;0;11,1;0,27
04-11-2020;0;0;0;0;316;1,06;3,16;11,4;0,988;98,7;0,1;0,3;0;10,8;0,36
04-11-2020;0;0;0;0;303;1,41;3,06;11,7;0,907;98,71;0,1;0,4;0;10,8;0,47
04-11-2020;0;0;0;0;308;1,21;3,21;11,6;0,88;98,72;0,1;0,3;0;10,9;0,49
04-11-2020;0;0;0;0;343;0,79;2,12;11,3;0,872;98,72;0;0,3;0;10,8;0,47
04-11-2020;0;0;0;0;2;0,65;1,97;10,6;0,877;98,71;0,1;0,3;0;10,4;0,4
04-11-2020;0;0;0;0;339;0,82;1,86;10,6;0,873;98,72;0,1;0,3;0;9,9;0,41
04-11-2020;0;0;0;0;318;0,93;2,03;10,8;0,871;98,72;0,1;0,3;0;9,8;0,42
05-11-2020;0;0;0;0;320;1,08;2,27;10,6;0,863;98,71;0,2;0,3;0;9,8;0,42
05-11-2020;0;0;0;0;304;1,29;2,03;10,2;0,862;98,71;0,1;0,3;0;9,7;0,38
05-11-2020;0;0;0;0;294;1,25;2,63;9,5;0,851;98,7;0,2;0,3;0;9,5;0,34
05-11-2020;0;0;0;0;122;0,81;1,48;8,6;0,925;98,7;0,1;0,3;0;8,8;0,19
05-11-2020;0;0;0;0;64;0,45;1,08;8,1;0,958;98,69;0,2;0,3;0;8,2;0,12
05-11-2020;0;0;0;0;104;0,38;0,73;7,6;0,943;98,68;0,1;0,3;0;7,5;0,1
05-11-2020;0;0;0;0;95;0,6;1;7,3;0,94;98,68;0,2;0,2;0;7;0,08
05-11-2020;0;0;0;0;171;0,45;0,84;6,9;0,939;98,67;0,2;0,2;0;6,7;0,06
05-11-2020;0;0;0;0;92;0,38;0,66;6,5;0,919;98,65;0,2;0,2;0;6,3;0,05
05-11-2020;0;0;0;0;86;0,31;0,65;6,1;0,903;98,63;0,2;0,2;0;5,9;0,04
05-11-2020;0;0;0;0;64;0,36;0,72;5,8;0,88;98,64;0,1;0,2;0;5,4;0,04
05-11-2020;0;0;0;0;357;0,31;0,5;5,4;0,861;98,64;0,1;0,2;0;5;0,04
05-11-2020;0;0;0;0;71;0,21;0,47;5,2;0,847;98,63;0;0,2;0;4,8;0,04
05-11-2020;0;0;0;0;90;0,63;1,14;5,1;0,84;98,63;0,1;0,2;0;4,6;0,04
05-11-2020;0;0;0;0;210;1,1;2,06;5;0,842;98,61;0,1;0,2;0;4,6;0,03
05-11-2020;0;0;0;0;30;0,67;1,28;4,8;0,84;98,61;0,1;0,2;0;4,4;0,02
05-11-2020;0;0;0;0;94;1,16;2,6;5;0,84;98,61;0,1;0,3;0;4,4;0,03
05-11-2020;0;0;0;0;339;0,75;1,76;4,7;0,842;98,61;0,1;0,2;0;4,4;0,01
05-11-2020;0;0;0;0;91;0,71;1,7;4,7;0,839;98,62;0,1;0,2;0;4,3;0,01
05-11-2020;0;0;0;0;204;0,46;0,82;4,5;0,829;98,62;0,1;0,2;0;4,2;0,01
05-11-2020;0;0;0;0;138;0,61;1,01;4,2;0,814;98,61;0,1;0,2;0;3,9;0,01
05-11-2020;0;0;0;0;8;0,37;0,98;3,9;0,805;98,6;0,1;0,2;0;3,7;0
05-11-2020;0;0;0;0;73;0,29;0,6;3,7;0,789;98,6;0,1;0,2;0;3,4;0,01
05-11-2020;0;0;0;0;192;0,26;0,65;3,5;0,774;98,58;0,1;0,2;0;3,1;0,01
05-11-2020;0;0;0;0;339;0,48;0,98;3,3;0,764;98,58;0;0,1;0;2,9;0,01
05-11-2020;0;0;0;0;109;0,54;1;3;0,752;98,57;0,1;0,2;0;2,7;0,01
05-11-2020;0,5;0;0;0;113;0,45;1,13;2,9;0,747;98,57;0;0,2;0;2,6;0,01
05-11-2020;4,5;0;0;0;219;0,45;1,04;2,7;0,739;98,58;0;0,2;0;2,4;0
05-11-2020;10,8;0;0;0;354;0,33;0,8;2,7;0,731;98,58;0;0,2;0;2,2;0,01
05-11-2020;70,8;0;0;0;52;0,41;1,07;2,8;0,745;98,58;0,1;0,3;0;2,5;0
05-11-2020;138,4;0;0;0;184;0,5;1,17;3,5;0,785;98,57;0,1;0,4;0;4,3;0
05-11-2020;176;0;0;0;226;0,37;0,82;4,4;0,835;98,54;0,1;0,5;0;6;#N/D
05-11-2020;207,2;0;0;0;33;0,33;0,8;5,4;0,895;98,55;0,3;0,5;0;7,9;0
05-11-2020;267,1;0;0;0;103;0,29;0,74;6,7;0,981;98,53;0,2;0,5;0;9,6;0
05-11-2020;333,9;0;0;0;31;0,35;0,81;8;1,075;98,53;0,2;0,5;0;11,5;#N/D
05-11-2020;383,8;0;0;0;50;0,35;0,88;9,6;1,104;98,51;0,1;0,5;0;13,3;0,09
05-11-2020;435,3;0;0;0;122;0,47;0,96;10,9;1,094;98,5;0,2;0,5;0;15;0,21
05-11-2020;487,7;0;0;0;89;0,67;1,46;12;1,033;98,5;0,2;0,5;0;16,2;0,37
05-11-2020;501,5;0;0;0;334;0,55;1,32;12,8;1,064;98,49;0,2;0,6;0;17,2;0,41
05-11-2020;527,5;0;0;0;291;0,91;3,03;13,5;1,127;98,48;0,2;0,7;0;18,3;0,42
05-11-2020;642,9;0;0;0;283;1,19;2,89;14,4;1,108;98,48;0,1;0,6;0;18,7;0,53
05-11-2020;704,9;0;0;0;294;2,03;3,96;14,5;1,119;98,47;0,2;0,7;0;18,9;0,54
05-11-2020;755,5;0;0;0;318;2,35;4,08;14,8;1,071;98,46;0,1;0,7;0;18,6;0,61
05-11-2020;796,9;0;0;0;311;2,05;3,84;15,2;1,014;98,46;0,1;0,7;0;18,8;0,71
05-11-2020;850,3;0;0;0;332;2,19;4,68;15,6;0,98;98,45;0,3;0,5;0;18,9;0,79
05-11-2020;891,3;0;0;0;327;1,9;3,94;16,4;1,002;98,44;0,1;0,6;0;19,4;0,86
05-11-2020;927,1;0;0;0;296;1,62;3,99;17,2;0,999;98,42;0,1;0,6;0;19,9;0,96
05-11-2020;960,7;0;0;0;297;1,82;4,2;17,7;0,981;98,4;0;0,7;0;20,6;1,04
05-11-2020;993,3;0;0;0;295;1,6;3,68;18,2;1,023;98,39;0,2;0,4;0;20,8;1,06
05-11-2020;1020;0;0;0;279;1,84;3,55;18,5;1,079;98,39;0,7;1;0;21,2;1,05
05-11-2020;1040,1;0;0;0;287;2,33;5,58;18,6;1,075;98,38;0,2;0,6;0;21,2;1,07
05-11-2020;1056,5;0;0;0;286;1,88;5,36;19;1,087;98,36;0;0,5;0;21,3;1,11
05-11-2020;1070,7;0;0;0;267;1,75;4,88;19,5;1,097;98,34;0,1;0,6;0;21,5;1,17
05-11-2020;1080,7;0;0;0;280;1,65;3,93;19,8;1,129;98,32;0;0,6;0;21,9;1,18
05-11-2020;1080,7;0;0;0;281;2,07;6,17;20,2;1,131;98,29;-0,1;0,6;0;22,1;1,23
05-11-2020;1085,6;0;0;0;263;1,48;3,82;20,4;1,096;98,28;0;0,4;0;22,4;1,3
05-11-2020;1055,5;0;0;0;261;1,55;3,21;20,8;1,079;98,27;0;0,4;0;22,7;1,37
05-11-2020;965,5;0;0;0;275;1,59;4,16;21,1;1,112;98,26;0;0,3;0;23;1,38
05-11-2020;897,5;0;0;0;264;1,63;4,66;21,4;1,094;98,25;0;0,3;0;23,3;1,45
05-11-2020;961,9;0;0;0;281;1,57;4,28;21,6;1,072;98,23;-0,1;0,4;0;23,6;1,5
05-11-2020;991,6;0;0;0;282;2,27;6,06;21,6;1,111;98,22;0,2;0,3;0;23,7;1,47
05-11-2020;987,6;0;0;0;271;1,69;3,76;22;1,121;98,2;0,1;0,2;0;23,9;1,52
05-11-2020;958,1;0;0;0;274;1,64;3,99;22,3;1,217;98,19;0,1;0,3;0;24,3;1,47
05-11-2020;910,1;0;0;0;277;1,85;4,4;22,3;1,157;98,18;0,1;0,4;0;24,5;1,53
05-11-2020;886,3;0;0;0;279;1,53;4,95;22,4;1,209;98,17;0,1;0,2;0;24,6;1,5
05-11-2020;836,1;0;0;0;270;1,81;4,58;22,3;1,199;98,15;0,1;0,3;0;24,7;1,49
05-11-2020;799,9;0;0;0;273;1,73;5;22,5;1,207;98,13;0,1;0,4;0;24,7;1,51
05-11-2020;756,9;0;0;0;264;1,64;3,83;22,6;1,2;98,12;0,3;0,4;0;24,9;1,54
05-11-2020;600,3;0;0;0;225;1,68;4,8;22,7;1,202;98,1;0;0,2;0;25,1;1,56
05-11-2020;55,7;0;0;0;241;1,59;3,77;22,9;1,163;98,1;0,2;0,3;0;24,7;1,62
05-11-2020;389,5;0;0;0;249;1,32;3,31;22,5;1,167;98,09;0,2;0,4;0;24,2;1,56
05-11-2020;544,1;0;0;0;233;1,51;4,58;22,5;1,145;98,08;0,1;0,2;0;24,5;1,57
05-11-2020;486,5;0;0;0;274;1,15;3,21;22,4;1,169;98,08;0,2;0,2;0;25;1,54
05-11-2020;428,8;0;0;0;267;1,47;3,65;22,1;1,131;98,08;0,2;0,2;0;25;1,53
05-11-2020;370,1;0;0;0;266;1,51;3,45;21,9;1,116;98,07;0,1;0,3;0;24,8;1,51
05-11-2020;312,3;0;0;0;256;1,43;4,2;21,5;1,097;98,07;0,3;0,1;0;24,5;1,47
05-11-2020;255,6;0;0;0;270;1,44;3,45;21,4;1,068;98,08;0,1;0,2;0;24;1,48
05-11-2020;188,3;0;0;0;289;1,26;4,34;20,9;1,067;98,08;0,2;0,3;0;23,4;1,4
05-11-2020;32,5;0;0;0;300;1,17;3,03;20,2;1,032;98,09;0,1;0,4;0;22;1,34
05-11-2020;27,3;0;0;0;300;1,12;2,5;19,4;0,994;98,11;0,2;0,4;0;20,4;1,26
05-11-2020;21;0;0;0;307;1,31;2,96;18,6;0,998;98,12;0,2;0,4;0;19,2;1,14
