site;season;date_sample;date_sentinel;sample;lai_cept;lai_manual
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M1;;3,2
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M2;;3
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M3;;1,3
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M4;;2,2
hidango;2021_2022;06-08-2021;11-08-2021;HIS1M5;;2,7
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M1;4,31;6,1
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M2;4,41;4,2
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M3;3,8;5,5
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M4;2,56;3
hidango;2021_2022;01-09-2021;31-08-2021;HIS1M5;3,58;3,4
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M1;5,27;7,9
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M2;7,64;7,6
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M3;5,33;8
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M4;7,68;7,9
hidango;2021_2022;05-10-2021;05-10-2021;HIS1M5;5,51;8,2
hidango;2021_2022;04-11-2021;04-11-2021;HIS1M1;2,36;5,2
hidango;2021_2022;04-11-2021;04-11-2021;HIS1M2;3,89;4,5
hidango;2021_2022;04-11-2021;04-11-2021;HIS1M3;6,7;6,5
hidango;2021_2022;04-11-2021;04-11-2021;HIS1M4;5,42;3,6
hidango;2021_2022;04-11-2021;04-11-2021;HIS1M5;6,5;4,2
hidango;2021_2022;29-11-2021;29-11-2021;HIS1M1;4,93;2,7
hidango;2021_2022;29-11-2021;29-11-2021;HIS1M2;5,66;2,7
hidango;2021_2022;29-11-2021;29-11-2021;HIS1M3;4,86;2
hidango;2021_2022;29-11-2021;29-11-2021;HIS1M4;4,52;2,1
hidango;2021_2022;29-11-2021;29-11-2021;HIS1M5;4,25;1,4
hidango;2021_2022;14-12-2021;14-12-2021;HIS1M1;5,24;2,2
hidango;2021_2022;14-12-2021;14-12-2021;HIS1M2;5,78;1,7
hidango;2021_2022;14-12-2021;14-12-2021;HIS1M3;4,99;1,9
hidango;2021_2022;14-12-2021;14-12-2021;HIS1M4;4,34;1,8
hidango;2021_2022;14-12-2021;14-12-2021;HIS1M5;4,19;1,4
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M1;3,53;2,1
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M2;3,46;2,4
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M3;3,13;1,8
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M4;2,74;1,8
hidango;2021_2022;03-01-2022;03-01-2022;HIS1M5;3,07;1,4
hidango;2022_2023;17-06-2022;;HIS2M1;;
hidango;2022_2023;17-06-2022;;HIS2M2;;
hidango;2022_2023;17-06-2022;;HIS2M3;;
hidango;2022_2023;17-06-2022;;HIS2M4;;
hidango;2022_2023;17-06-2022;;HIS2M5;;
hidango;2022_2023;17-06-2022;;HIS2M6;;
hidango;2022_2023;21-07-2022;22-07-2022;HIS2M1;0,26;0,5
hidango;2022_2023;21-07-2022;22-07-2022;HIS2M2;0,23;0,5
hidango;2022_2023;21-07-2022;22-07-2022;HIS2M3;0,23;0,7
hidango;2022_2023;21-07-2022;22-07-2022;HIS2M4;0,44;0,6
hidango;2022_2023;21-07-2022;22-07-2022;HIS2M5;0,33;1
hidango;2022_2023;21-07-2022;22-07-2022;HIS2M6;0,45;0,7
hidango;2022_2023;19-08-2022;21-08-2022;HIS2M1;0,48;1,6
hidango;2022_2023;19-08-2022;21-08-2022;HIS2M2;0,55;0,7
hidango;2022_2023;19-08-2022;21-08-2022;HIS2M3;0,44;0,9
hidango;2022_2023;19-08-2022;21-08-2022;HIS2M4;0,54;1
hidango;2022_2023;19-08-2022;21-08-2022;HIS2M5;0,7;2
hidango;2022_2023;19-08-2022;21-08-2022;HIS2M6;1,06;2,6
hidango;2022_2023;28-09-2022;;HIS2M1;;3,4
hidango;2022_2023;28-09-2022;;HIS2M2;;2,5
hidango;2022_2023;28-09-2022;;HIS2M3;;3,4
hidango;2022_2023;28-09-2022;;HIS2M4;;3,7
hidango;2022_2023;28-09-2022;;HIS2M5;;2,4
hidango;2022_2023;28-09-2022;;HIS2M6;;5,8
hidango;2022_2023;04-11-2022;30-10-2022;HIS2M1;3,84;4
hidango;2022_2023;04-11-2022;30-10-2022;HIS2M2;3,43;1,1
hidango;2022_2023;04-11-2022;30-10-2022;HIS2M3;4,43;2
hidango;2022_2023;04-11-2022;30-10-2022;HIS2M4;4,23;2,5
hidango;2022_2023;04-11-2022;30-10-2022;HIS2M5;4,2;2,2
hidango;2022_2023;04-11-2022;30-10-2022;HIS2M6;3,01;4,2
hidango;2022_2023;02-12-2022;04-12-2022;HIS2M1;2,66;1,1
hidango;2022_2023;02-12-2022;04-12-2022;HIS2M2;3,33;0,9
hidango;2022_2023;02-12-2022;04-12-2022;HIS2M3;4,17;1,5
hidango;2022_2023;02-12-2022;04-12-2022;HIS2M4;2,33;1,5
hidango;2022_2023;02-12-2022;04-12-2022;HIS2M5;3,38;1
hidango;2022_2023;02-12-2022;04-12-2022;HIS2M6;5,39;2,9
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M1;2,86;0,9
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M2;2,91;1,3
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M3;2,92;1,2
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M4;2,71;0,6
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M5;3,09;0,6
hidango;2022_2023;27-12-2022;29-12-2022;HIS2M6;4,13;1,1
ariztia;2022_2023;07-07-2022;07-07-2022;ARS1M1;0,64;0,8
ariztia;2022_2023;07-07-2022;07-07-2022;ARS1M2;0,7;1,2
ariztia;2022_2023;07-07-2022;07-07-2022;ARS1M3;1,31;0,6
ariztia;2022_2023;07-07-2022;07-07-2022;ARS1M4;0,5;0,6
ariztia;2022_2023;07-07-2022;07-07-2022;ARS1M5;0,52;0,7
