date;vwc15;vwc30;vwc45;st15;st30;st45;sec15;sec30;sec45
07-06-2022 12:00;0,179;0,26;0,11;11,8;12,3;12,5;1,456;3,289;#N/A
07-06-2022 13:00;0,185;0,263;0,109;11,8;12,3;12,6;1,46;3,286;#N/A
07-06-2022 14:00;0,185;0,265;0,109;11,9;12,3;12,6;1,463;3,287;#N/A
07-06-2022 15:00;0,185;0,265;0,109;12,1;12,3;12,6;1,46;3,296;#N/A
07-06-2022 16:00;0,185;0,266;0,109;12,3;12,3;12,6;1,462;3,307;#N/A
07-06-2022 17:00;0,184;0,266;0,109;12,5;12,3;12,6;1,46;3,312;#N/A
07-06-2022 18:00;0,184;0,266;0,109;12,7;12,4;12,6;1,444;3,303;#N/A
07-06-2022 19:00;0,184;0,266;0,109;12,8;12,4;12,7;1,445;3,31;#N/A
07-06-2022 20:00;0,184;0,266;0,109;12,7;12,5;12,7;1,448;3,316;#N/A
07-06-2022 21:00;0,184;0,266;0,11;12,5;12,5;12,7;1,455;3,316;#N/A
07-06-2022 22:00;0,184;0,266;0,11;12,2;12,6;12,7;1,465;3,314;#N/A
07-06-2022 23:00;0,184;0,266;0,11;12;12,6;12,7;1,462;3,314;#N/A
08-06-2022 0:00;0,185;0,266;0,11;11,7;12,6;12,7;1,458;3,322;#N/A
08-06-2022 1:00;0,185;0,266;0,11;11,5;12,6;12,7;1,462;3,322;#N/A
08-06-2022 2:00;0,185;0,266;0,11;11,2;12,5;12,7;1,459;3,322;#N/A
08-06-2022 3:00;0,185;0,266;0,11;11;12,5;12,7;1,456;3,33;#N/A
08-06-2022 4:00;0,185;0,266;0,11;10,8;12,4;12,7;1,456;3,339;#N/A
08-06-2022 5:00;0,186;0,267;0,11;10,6;12,4;12,7;1,459;3,339;#N/A
08-06-2022 6:00;0,186;0,267;0,11;10,5;12,3;12,6;1,459;3,339;#N/A
08-06-2022 7:00;0,186;0,267;0,11;10,4;12,2;12,6;1,452;3,347;#N/A
08-06-2022 8:00;0,186;0,267;0,11;10,3;12,1;12,6;1,446;3,356;#N/A
08-06-2022 9:00;0,186;0,267;0,11;10,2;12;12,5;1,435;3,364;#N/A
08-06-2022 10:00;0,186;0,267;0,11;10,1;12;12,5;1,432;3,341;#N/A
08-06-2022 11:00;0,186;0,267;0,11;10,1;11,9;12,4;1,441;3,341;#N/A
08-06-2022 12:00;0,186;0,267;0,11;10,2;11,8;12,4;1,434;3,342;#N/A
08-06-2022 13:00;0,185;0,267;0,11;10,4;11,7;12,4;1,435;3,335;#N/A
08-06-2022 14:00;0,185;0,267;0,11;10,7;11,7;12,3;1,45;3,335;#N/A
08-06-2022 15:00;0,185;0,267;0,11;10,9;11,7;12,3;1,448;3,342;#N/A
08-06-2022 16:00;0,184;0,267;0,11;11,2;11,7;12,2;1,448;3,342;#N/A
08-06-2022 17:00;0,184;0,267;0,11;11,4;11,7;12,2;1,438;3,342;#N/A
08-06-2022 18:00;0,184;0,267;0,11;11,6;11,7;12,2;1,432;3,358;#N/A
08-06-2022 19:00;0,184;0,267;0,11;11,6;11,7;12,2;1,44;3,365;#N/A
08-06-2022 20:00;0,184;0,267;0,11;11,6;11,8;12,2;1,435;3,365;#N/A
08-06-2022 21:00;0,184;0,267;0,11;11,5;11,8;12,2;1,442;3,365;#N/A
08-06-2022 22:00;0,184;0,267;0,11;11,4;11,9;12,2;1,446;3,364;#N/A
08-06-2022 23:00;0,184;0,267;0,11;11,3;11,9;12,2;1,446;3,364;#N/A
09-06-2022 0:00;0,184;0,267;0,11;11,3;11,9;12,2;1,446;3,364;#N/A
09-06-2022 1:00;0,184;0,267;0,11;11,2;11,9;12,2;1,447;3,365;#N/A
09-06-2022 2:00;0,184;0,267;0,11;11,2;11,9;12,2;1,447;3,372;#N/A
09-06-2022 3:00;0,184;0,267;0,11;11,2;11,9;12,2;1,451;3,373;#N/A
09-06-2022 4:00;0,184;0,267;0,11;11,2;11,9;12,2;1,447;3,373;#N/A
09-06-2022 5:00;0,184;0,267;0,11;11,2;11,9;12,2;1,448;3,365;#N/A
09-06-2022 6:00;0,184;0,267;0,11;11,2;11,9;12,2;1,445;3,365;#N/A
09-06-2022 7:00;0,184;0,267;0,11;11,2;11,9;12,2;1,441;3,365;#N/A
09-06-2022 8:00;0,184;0,267;0,11;11,2;11,9;12,2;1,442;3,373;#N/A
09-06-2022 9:00;0,184;0,267;0,11;11,2;11,9;12,2;1,441;3,373;#N/A
09-06-2022 10:00;0,184;0,267;0,11;11,1;11,9;12,2;1,442;3,373;#N/A
09-06-2022 11:00;0,183;0,267;0,11;11,1;11,9;12,2;1,443;3,373;#N/A
09-06-2022 12:00;0,183;0,267;0,11;11,2;11,9;12,2;1,44;3,373;#N/A
09-06-2022 13:00;0,183;0,267;0,11;11,4;11,9;12,2;1,438;3,372;#N/A
09-06-2022 14:00;0,182;0,267;0,11;11,8;11,9;12,2;1,436;3,365;#N/A
09-06-2022 15:00;0,182;0,267;0,11;12,3;11,9;12,2;1,423;3,365;#N/A
09-06-2022 16:00;0,181;0,267;0,11;12,8;11,9;12,2;1,432;3,365;#N/A
09-06-2022 17:00;0,18;0,267;0,11;13,2;12;12,2;1,433;3,372;#N/A
09-06-2022 18:00;0,18;0,267;0,11;13,5;12,1;12,3;1,432;3,364;#N/A
09-06-2022 19:00;0,18;0,267;0,11;13,6;12,2;12,3;1,44;3,371;#N/A
09-06-2022 20:00;0,18;0,266;0,11;13,5;12,4;12,4;1,436;3,371;#N/A
09-06-2022 21:00;0,18;0,266;0,11;13,2;12,5;12,4;1,436;3,354;#N/A
09-06-2022 22:00;0,18;0,266;0,11;13;12,6;12,4;1,437;3,354;#N/A
09-06-2022 23:00;0,181;0,266;0,11;12,7;12,7;12,5;1,432;3,362;#N/A
10-06-2022 0:00;0,181;0,266;0,11;12,4;12,7;12,5;1,44;3,369;#N/A
10-06-2022 1:00;0,181;0,266;0,109;12,2;12,7;12,6;1,433;3,362;#N/A
10-06-2022 2:00;0,182;0,266;0,109;11,9;12,7;12,6;1,434;3,362;#N/A
10-06-2022 3:00;0,182;0,266;0,109;11,6;12,7;12,6;1,436;3,363;#N/A
10-06-2022 4:00;0,182;0,266;0,109;11,4;12,6;12,6;1,433;3,355;#N/A
10-06-2022 5:00;0,182;0,266;0,109;11,1;12,6;12,6;1,421;3,364;#N/A
10-06-2022 6:00;0,183;0,266;0,109;10,8;12,5;12,6;1,427;3,365;#N/A
10-06-2022 7:00;0,183;0,266;0,109;10,6;12,4;12,6;1,434;3,366;#N/A
10-06-2022 8:00;0,183;0,266;0,109;10,4;12,4;12,6;1,43;3,358;#N/A
10-06-2022 9:00;0,183;0,266;0,109;10,2;12,2;12,5;1,42;3,36;#N/A
10-06-2022 10:00;0,183;0,266;0,109;10;12,2;12,5;1,42;3,368;#N/A
10-06-2022 11:00;0,183;0,266;0,109;9,9;12;12,4;1,418;3,353;#N/A
10-06-2022 12:00;0,183;0,266;0,109;10;12;12,4;1,412;3,354;#N/A
10-06-2022 13:00;0,183;0,267;0,109;10,2;11,8;12,3;1,413;3,354;#N/A
10-06-2022 14:00;0,182;0,267;0,109;10,6;11,8;12,3;1,416;3,354;#N/A
10-06-2022 15:00;0,181;0,267;0,109;11,2;11,7;12,2;1,411;3,347;#N/A
10-06-2022 16:00;0,18;0,267;0,109;11,9;11,7;12,2;1,411;3,339;#N/A
10-06-2022 17:00;0,18;0,267;0,109;12,5;11,7;12,2;1,416;3,355;#N/A
10-06-2022 18:00;0,179;0,267;0,109;12,9;11,8;12,2;1,406;3,37;#N/A
10-06-2022 19:00;0,179;0,266;0,109;13;12;12,2;1,4;3,361;#N/A
10-06-2022 20:00;0,179;0,266;0,109;13;12,1;12,2;1,404;3,368;#N/A
10-06-2022 21:00;0,179;0,266;0,109;12,8;12,2;12,2;1,413;3,368;#N/A
10-06-2022 22:00;0,179;0,266;0,109;12,5;12,4;12,3;1,42;3,359;#N/A
10-06-2022 23:00;0,18;0,266;0,109;12,2;12,4;12,3;1,42;3,36;#N/A
11-06-2022 0:00;0,18;0,266;0,109;12;12,5;12,4;1,42;3,359;#N/A
11-06-2022 1:00;0,18;0,266;0,109;11,6;12,5;12,4;1,413;3,36;#N/A
11-06-2022 2:00;0,181;0,266;0,109;11,4;12,5;12,4;1,417;3,36;#N/A
11-06-2022 3:00;0,181;0,266;0,109;11,1;12,5;12,4;1,42;3,361;#N/A
11-06-2022 4:00;0,181;0,266;0,109;10,8;12,4;12,4;1,417;3,346;#N/A
11-06-2022 5:00;0,181;0,266;0,109;10,5;12,4;12,4;1,414;3,354;#N/A
11-06-2022 6:00;0,182;0,266;0,109;10,3;12,3;12,4;1,401;3,356;#N/A
11-06-2022 7:00;0,182;0,266;0,109;10;12,2;12,4;1,406;3,341;#N/A
11-06-2022 8:00;0,182;0,266;0,109;9,7;12,1;12,4;1,406;3,335;#N/A
11-06-2022 9:00;0,183;0,266;0,109;9,4;12;12,3;1,406;3,336;#N/A
11-06-2022 10:00;0,183;0,266;0,109;9,2;11,8;12,3;1,403;3,344;#N/A
11-06-2022 11:00;0,183;0,266;0,109;9;11,7;12,2;1,404;3,337;#N/A
11-06-2022 12:00;0,183;0,266;0,109;9,1;11,6;12,2;1,398;3,337;#N/A
11-06-2022 13:00;0,182;0,266;0,109;9,4;11,5;12,1;1,397;3,33;#N/A
11-06-2022 14:00;0,181;0,266;0,109;9,9;11,4;12;1,395;3,323;#N/A
11-06-2022 15:00;0,181;0,267;0,109;10,5;11,3;12;1,39;3,331;#N/A
11-06-2022 16:00;0,18;0,267;0,109;11;11,3;11,9;1,391;3,339;#N/A
11-06-2022 17:00;0,18;0,267;0,109;11,4;11,3;11,9;1,394;3,332;#N/A
11-06-2022 18:00;0,179;0,266;0,109;11,7;11,4;11,9;1,395;3,331;#N/A
11-06-2022 19:00;0,179;0,266;0,109;11,8;11,5;11,9;1,386;3,323;#N/A
11-06-2022 20:00;0,179;0,266;0,109;11,8;11,6;11,9;1,39;3,33;#N/A
11-06-2022 21:00;0,179;0,266;0,109;11,8;11,7;11,9;1,394;3,338;#N/A
11-06-2022 22:00;0,179;0,266;0,109;11,7;11,8;12;1,391;3,33;#N/A
11-06-2022 23:00;0,179;0,266;0,109;11,7;11,8;12;1,401;3,33;#N/A
12-06-2022 0:00;0,179;0,266;0,108;11,6;11,9;12;1,401;3,337;#N/A
12-06-2022 1:00;0,179;0,266;0,108;11,6;11,9;12;1,402;3,338;#N/A
