recipe,model,mean_mae,mean_rmse,mean_rsq,sd_mae,sd_rmse,sd_rsq
baseline,GLM,7.064565746814871,8.903655490186308,0.41501847837179695,1.6928831293337139,2.0071455494826655,0.13979489863342376
baseline,RF,6.396315803125004,8.094514862650904,0.6500131365254896,2.6815780407092933,3.5293994333852234,0.15420941726389625
baseline,XGBoost,5.906164292161065,7.634456691282246,0.6923876512376583,2.6575683478946006,3.433254283422396,0.1466733613999814
clima,GLM,6.27326137643908,8.172268594413293,0.6554448832485987,2.285151132377009,2.9312539302561027,0.18725157581045188
clima,RF,7.678025710165214,10.082023292776928,0.5297782976268748,2.6937411718265922,2.7683117034733327,0.27834842145333044
clima,XGBoost,7.5710472459030065,9.961967547857778,0.49850469978127,2.507177787293627,2.7171145003326616,0.2970432243817706
fusion,GLM,8.546990591149033,10.313552919493304,0.3877445634538133,1.445345474075209,1.5093035123395693,0.08563070692038136
fusion,RF,5.53490576929564,7.103982464546359,0.7294411157483209,1.770251292914676,2.572856462173666,0.07301414150350155
fusion,XGBoost,5.611776570736519,7.237512236773467,0.6550520103274496,1.9256966169705447,2.5833991358508213,0.16613521078162471
radar,GLM,7.208587510261282,8.947149543412959,0.4188455455062165,0.8964323148970557,1.2252622115735727,0.09154281386738579
radar,RF,6.159915957787702,7.809657879705533,0.660551539621212,2.8300783006343186,3.62721695267473,0.14760586483241875
radar,XGBoost,6.146940888174632,7.675067440796926,0.65270801917705,2.344020955534884,3.0041047586367866,0.1284266862013838
