recipe,model,.metric,site_group,mean_estimate,sd_estimate
(a) Climate,GLM,mae,La Cancha,5.653719243555663,NA
(a) Climate,GLM,mae,Other sites,6.479775420733552,2.7526324207494053
(a) Climate,GLM,rmse,La Cancha,7.139144941017188,NA
(a) Climate,GLM,rmse,Other sites,8.516643145545327,3.489528824448715
(a) Climate,GLM,rsq,La Cancha,0.7259152576653892,NA
(a) Climate,GLM,rsq,Other sites,0.631954758443002,0.22200002969583366
(a) Climate,RF,mae,La Cancha,5.769282258318068,NA
(a) Climate,RF,mae,Other sites,8.314273527447595,2.907833306984942
(a) Climate,RF,rmse,La Cancha,7.77333722422865,NA
(a) Climate,RF,rmse,Other sites,10.851585315626354,2.8181501537903433
(a) Climate,RF,rsq,La Cancha,0.757874156560665,NA
(a) Climate,RF,rsq,Other sites,0.4537463446489447,0.28553742022108464
(a) Climate,XGBoost,mae,La Cancha,5.544034847300499,NA
(a) Climate,XGBoost,mae,Other sites,8.246718045437177,2.5864501753540488
(a) Climate,XGBoost,rmse,La Cancha,7.280114084421079,NA
(a) Climate,XGBoost,rmse,Other sites,10.855918702336677,2.505828168951748
(a) Climate,XGBoost,rsq,La Cancha,0.7507930823605586,NA
(a) Climate,XGBoost,rsq,Other sites,0.41440857225484046,0.29986507588752204
(b) S2+Climate,GLM,mae,La Cancha,9.098919043071248,NA
(b) S2+Climate,GLM,mae,Other sites,6.3864479813960795,1.2408536221950615
(b) S2+Climate,GLM,rmse,La Cancha,10.822749761612055,NA
(b) S2+Climate,GLM,rmse,Other sites,8.263957399711058,1.89411404183223
(b) S2+Climate,GLM,rsq,La Cancha,0.2810623421691422,NA
(b) S2+Climate,GLM,rsq,Other sites,0.45967052377268186,0.131723534628394
(b) S2+Climate,RF,mae,La Cancha,6.996517641666673,NA
(b) S2+Climate,RF,mae,Other sites,6.196248523611114,3.247480513356301
(b) S2+Climate,RF,rmse,La Cancha,8.289563007819389,NA
(b) S2+Climate,RF,rmse,Other sites,8.029498814261407,4.319679157215359
(b) S2+Climate,RF,rsq,La Cancha,0.5602439500117691,NA
(b) S2+Climate,RF,rsq,Other sites,0.6799361986967298,0.1740645818685762
(b) S2+Climate,XGBoost,mae,La Cancha,6.769239836521447,NA
(b) S2+Climate,XGBoost,mae,Other sites,5.618472444040937,3.1776413719531362
(b) S2+Climate,XGBoost,rmse,La Cancha,8.047583384545591,NA
(b) S2+Climate,XGBoost,rmse,Other sites,7.496747793527797,4.191308867028637
(b) S2+Climate,XGBoost,rsq,La Cancha,0.5130420162723569,NA
(b) S2+Climate,XGBoost,rsq,Other sites,0.7521695295594255,0.10404986574947074
(c) S2+S1+Climate,GLM,mae,La Cancha,7.8177328144642795,NA
(c) S2+S1+Climate,GLM,mae,Other sites,7.00553907552695,0.9787820705852587
(c) S2+S1+Climate,GLM,rmse,La Cancha,9.357651094178536,NA
(c) S2+S1+Climate,GLM,rmse,Other sites,8.810315693157765,1.462723560763031
(c) S2+S1+Climate,GLM,rsq,La Cancha,0.38723895086389154,NA
(c) S2+S1+Climate,GLM,rsq,Other sites,0.4293810770536582,0.1091061208467033
(c) S2+S1+Climate,RF,mae,La Cancha,6.873114204166672,NA
(c) S2+S1+Climate,RF,mae,Other sites,5.922183208994713,3.4168572727712556
(c) S2+S1+Climate,RF,rmse,La Cancha,8.140313483883318,NA
(c) S2+S1+Climate,RF,rmse,Other sites,7.699439344979605,4.4342040413442465
(c) S2+S1+Climate,RF,rsq,La Cancha,0.5713517883880903,NA
(c) S2+S1+Climate,RF,rsq,Other sites,0.6902847900322526,0.16545948120115553
(c) S2+S1+Climate,XGBoost,mae,La Cancha,6.785282125473023,NA
(c) S2+S1+Climate,XGBoost,mae,Other sites,5.934160475741836,2.823118548075794
(c) S2+S1+Climate,XGBoost,rmse,La Cancha,7.9584122804868676,NA
(c) S2+S1+Climate,XGBoost,rmse,Other sites,7.58061916090028,3.6719811050499245
(c) S2+S1+Climate,XGBoost,rsq,La Cancha,0.5631796125470488,NA
(c) S2+S1+Climate,XGBoost,rsq,Other sites,0.6825508213870504,0.13927154601903377
(d) Fusion,GLM,mae,La Cancha,6.668115672806,NA
(d) Fusion,GLM,mae,Other sites,9.173282230596712,0.8832259072809031
(d) Fusion,GLM,rmse,La Cancha,8.374799897087511,NA
(d) Fusion,GLM,rmse,Other sites,10.959803926961902,0.9545435823553449
(d) Fusion,GLM,rsq,La Cancha,0.44999617987708157,NA
(d) Fusion,GLM,rsq,Other sites,0.36699402464605724,0.09173558626102098
(d) Fusion,RF,mae,La Cancha,6.029462862500005,NA
(d) Fusion,RF,mae,Other sites,5.370053404894185,2.130170567773065
(d) Fusion,RF,rmse,La Cancha,7.14141388565763,NA
(d) Fusion,RF,rmse,Other sites,7.091505324175936,3.150944539060034
(d) Fusion,RF,rsq,La Cancha,0.6545412245129241,NA
(d) Fusion,RF,rsq,Other sites,0.7544077461601199,0.0652426354811318
(d) Fusion,XGBoost,mae,La Cancha,6.910073721762746,NA
(d) Fusion,XGBoost,mae,Other sites,5.179010853727776,2.1068327403971008
(d) Fusion,XGBoost,rmse,La Cancha,8.15379515071659,NA
(d) Fusion,XGBoost,rmse,Other sites,6.932084598792426,3.0742820935002184
(d) Fusion,XGBoost,rsq,La Cancha,0.45171583240253843,NA
(d) Fusion,XGBoost,rsq,Other sites,0.7228307363024201,0.11763344857412597
