step,variable,VIF
1,S2_MCARI,322.0919956021098
2,PS_B3,235.34598187620225
3,gdd_cumsum,120.41179734733511
4,PS_CI_red_cumsum,87.17703865028835
5,S2_WI1,85.37894132228493
6,S2_B6,76.17776615009707
7,S2_SWIR12_MCARI_cumsum,63.70137039946784
8,PS_B8,59.28276226158921
9,S2_NDRE_NDVI,57.02864439510846
10,S2_TCARI_OSAVI_8A,41.39010953711608
11,S2_TCARI,35.11597622192746
12,PS_GNDVI,34.533070621355876
13,pp_cumsum,27.14645433495843
14,S2_CVI,23.34425517545325
15,S2_SWIR12_MCARI,22.003041909128747
16,S2_NDRE3_8A_cumsum,21.398841544547665
17,PS_TCARI_OSAVI,21.224853915201315
18,S2_NDRE3_8A,15.607784190758201
19,S2_SIPI_8A,13.882824023899785
20,PS_B5,11.557625540493683
