variable,VIF,high_vif,sensor
S2_MCARI,322.0919956021098,TRUE,Sentinel-2
PS_B3,261.71702039908473,TRUE,PlanetScope
S2_TCARI_OSAVI_8A,197.88096620930034,TRUE,Sentinel-2
S2_MCARI_OSAVI2,158.3014465643762,TRUE,Sentinel-2
PS_GNDVI,151.58392746307436,TRUE,PlanetScope
S2_TCARI,144.45811145391798,TRUE,Sentinel-2
gdd_cumsum,142.33453952099276,TRUE,Climate/Soil
PS_CI_red_cumsum,118.93026092468635,TRUE,PlanetScope
PS_B8,117.33032733215073,TRUE,PlanetScope
S2_SWIR12_MCARI_cumsum,100.81964848952926,TRUE,Sentinel-2
S2_CI_red_8A,90.94676221569898,TRUE,Sentinel-2
S2_B6,90.83603155439302,TRUE,Sentinel-2
S2_WI1,88.49008293811366,TRUE,Sentinel-2
S2_B1,87.69972884607515,TRUE,Sentinel-2
S2_NDRE3_8A,81.20615704288329,TRUE,Sentinel-2
S2_CVI,79.59842919566299,TRUE,Sentinel-2
S2_NDRE_NDVI,74.37178584226308,TRUE,Sentinel-2
S2_SWIR12_MCARI,73.06213283839303,TRUE,Sentinel-2
PS_GRVI_cumsum,65.750405780867,TRUE,PlanetScope
S2_NDRE3_8A_cumsum,62.30039326235146,TRUE,Sentinel-2
S2_WI1_8A,57.623117110676276,TRUE,Sentinel-2
S2_SWIR12_TCARI_cumsum,55.71184466805361,TRUE,Sentinel-2
S2_B1_cumsum,46.04101292362141,TRUE,Sentinel-2
pp_cumsum,45.3977202667791,TRUE,Climate/Soil
PS_B5,44.3834304787596,TRUE,PlanetScope
S2_CI_red_8A_cumsum,35.73766486137467,TRUE,Sentinel-2
PS_TCARI_OSAVI,34.653423745114324,TRUE,PlanetScope
PS_MCARI_OSAVI,32.17536009195937,TRUE,PlanetScope
S2_SIPI_8A,29.78119385275697,TRUE,Sentinel-2
S2_NDRE3,27.242996548872416,TRUE,Sentinel-2
PS_CVI,26.27875187452195,TRUE,PlanetScope
PS_NDRE_NDVI,22.54400340728967,TRUE,PlanetScope
sm_mm,20.386220510189368,TRUE,Climate/Soil
S2_SWIR11_TCARI,18.79997281807198,TRUE,Sentinel-2
PS_SR,18.174309962164692,TRUE,PlanetScope
S2_NDRE3_cumsum,16.659276127228352,TRUE,Sentinel-2
PS_EVI_cumsum,9.206853349464597,FALSE,PlanetScope
S1_VV,5.826527560391277,FALSE,Sentinel-1
PS_SIPI,5.683075414950113,FALSE,PlanetScope
PS_EVI,4.216348205968077,FALSE,PlanetScope
S1_VH,3.618535989631698,FALSE,Sentinel-1
S1_VH_VV,2.6545738805608536,FALSE,Sentinel-1
